from	to	direction	method	weight
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|186925|estExt_GenewiseH_1.C_920025	0	M0039	0.101661342126132
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|188209|estExt_GenewiseH_1.C_1180017	0	M0039	0.117105819832013
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|19096|gw.217.35.1	0	M0039	0.102879378725931
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|191334|estExt_GenewiseH_1.C_2020069	0	M0039	0.0744507789919435
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|191780|estExt_GenewiseH_1.C_2170106	0	M0039	0.18708899733764
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|192238|estExt_GenewiseH_1.C_2320090	0	M0039	0.193057558711268
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|192713|estExt_GenewiseH_1.C_2550063	0	M0039	0.150441344022337
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|193264|estExt_GenewiseH_1.C_2850011	0	M0039	0.202443994764402
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|193548|estExt_GenewiseH_1.C_3000027	0	M0039	0.199232138095468
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|194914|estExt_GenewiseH_1.C_4440001	0	M0039	0.053678905738505
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|195236|estExt_GenewiseH_1.C_5450006	0	M0039	0.174928519100708
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|196760|fgenesh1_pg.scaffold_3000081	0	M0039	0.178892832764239
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|196774|fgenesh1_pg.scaffold_3000095	0	M0039	0.127840289356561
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|197451|fgenesh1_pg.scaffold_5000257	0	M0039	0.0901096278135602
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|198712|fgenesh1_pg.scaffold_11000124	0	M0039	0.103118951013929
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|198765|fgenesh1_pg.scaffold_11000177	0	M0039	0.107757645785207
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|199578|fgenesh1_pg.scaffold_16000028	0	M0039	0.125185125957813
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|199963|fgenesh1_pg.scaffold_18000087	0	M0039	0.106531589002216
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|201177|fgenesh1_pg.scaffold_26000106	0	M0039	0.168328950424343
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|201348|fgenesh1_pg.scaffold_27000111	0	M0039	0.144740476363247
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|201448|fgenesh1_pg.scaffold_28000065	0	M0039	0.106659931960347
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|201470|fgenesh1_pg.scaffold_28000087	0	M0039	0.0630145156146648
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|202084|fgenesh1_pg.scaffold_32000096	0	M0039	0.117081214566016
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|202556|fgenesh1_pg.scaffold_36000033	0	M0039	0.121447101493241
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|202620|fgenesh1_pg.scaffold_36000097	0	M0039	0.0481161230463433
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|203412|fgenesh1_pg.scaffold_42000127	0	M0039	0.0423562531879542
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|205418|fgenesh1_pg.scaffold_59000045	0	M0039	0.136076279202967
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|205839|fgenesh1_pg.scaffold_63000052	0	M0039	0.0644593305392848
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|206414|fgenesh1_pg.scaffold_69000055	0	M0039	0.0696313315309949
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|208419|fgenesh1_pg.scaffold_92000035	0	M0039	0.121768059924663
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|208550|fgenesh1_pg.scaffold_93000061	0	M0039	0.0509922023918232
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|210155|fgenesh1_pg.scaffold_117000047	0	M0039	0.136858999248577
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|210610|fgenesh1_pg.scaffold_124000054	0	M0039	0.100853225556043
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|213594|fgenesh1_pg.scaffold_179000028	0	M0039	0.0932597245867579
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|214007|fgenesh1_pg.scaffold_190000005	0	M0039	0.18522856170939
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|215383|fgenesh1_pg.scaffold_226000033	0	M0039	0.0905874633504104
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|215881|fgenesh1_pg.scaffold_242000003	0	M0039	0.163588023052852
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|216064|fgenesh1_pg.scaffold_247000033	0	M0039	0.172631755992428
jgi|Nemve1|100326|e_gw.56.129.1	jgi|Nemve1|216455|fgenesh1_pg.scaffold_261000021	0	M0039	0.0750347679574503
