count_rep1_0Hpf	count_rep1_12Hpf	count_rep2_12Hpf	count_rep1_13Hpf	count_rep2_13Hpf	count_rep1_14Hpf	count_rep2_14Hpf	count_rep1_15Hpf	count_rep2_15Hpf	count_rep1_16Hpf	count_rep2_16Hpf	count_rep1_17Hpf	count_rep2_17Hpf	count_rep1_18Hpf	count_rep2_18Hpf	count_rep1_19Hpf	count_rep2_19Hpf	
jgi|Nemve1|220136|fgenesh1_pg.scaffold_480000002	11.41540188	8.472840608	8.542605642	7.476941122	4.27616162	5.385890735	5.085417412	3.378831261	2.027813351	2.631092071	2.977632697	2.6131625	2.606660839	2.016723732	2.083956785	2.153060002	2.064647482
jgi|Nemve1|220143|fgenesh1_pg.scaffold_480000009	275.6354118	266.8330817	268.6880356	243.7595241	272.9846402	221.2439429	205.6140991	177.8532305	159.3968021	155.7713898	171.5574531	150.6226865	147.8156465	150.3774435	154.8005848	110.1409805	114.4732326
jgi|Nemve1|220148|fgenesh1_pg.scaffold_481000001	3.184554172	3.254061973	3.520938812	3.429273748	3.632438365	2.851353919	4.080890516	2.576358837	3.521991609	2.577396315	2.977632697	4.18106	3.325739691	2.981243777	3.740435255	3.253512892	3.762246523
jgi|Nemve1|220149|fgenesh1_pg.scaffold_481000002	29.24890524	39.23293586	39.71157217	64.9875484	47.12973829	52.87325414	48.53120567	80.92300871	85.59506881	78.39580457	56.68954557	93.28990126	131.7262572	89.91957333	75.50335737	100.1890588	100.0665813
jgi|Nemve1|220158|fgenesh1_pg.scaffold_481000011	0.097986282	0.184192187	0.173160925	0.112435205	0.229901162	0.422422803	0.251131724	0.380118517	0.373544565	0.429566052	0.400835171	1.09752825	0.76402128	0.832994585	1.229000155	1.722448002	1.835242207
jgi|Nemve1|220177|fgenesh1_pg.scaffold_483000007	138.895555	109.225967	115.4406168	89.94816388	142.1708788	75.47287409	69.24957291	59.50966559	48.82761095	40.32551317	42.88936326	30.6262645	25.25764468	27.9272395	25.00748142	17.84647513	14.91134293
jgi|Nemve1|220197|fgenesh1_pg.scaffold_485000005	82.06351134	83.25486858	92.98741682	79.32303702	79.68374288	77.62019001	81.49224446	77.45970666	75.02909398	80.75841786	80.39608281	83.62120001	70.15513051	79.13448555	79.61783615	77.84508052	79.28246332
jgi|Nemve1|220201|fgenesh1_pg.scaffold_485000009	1.518787374	1.841921871	1.44300771	1.405440061	0.965584882	1.337672209	1.569573275	1.942827975	2.08117686	1.342393914	1.431554181	2.1950565	2.651603267	2.060565552	2.030521996	2.153060002	2.018766427
jgi|Nemve1|220205|fgenesh1_pg.scaffold_486000003	6.026156355	5.771355197	6.060632381	5.115801821	5.379687199	4.259429928	5.336549136	4.814834547	4.375807757	3.758702959	3.492992202	2.717689	3.505509404	3.638871081	3.900739624	1.913831113	2.431695924
jgi|Nemve1|220211|fgenesh1_pg.scaffold_486000009	0.44093827	0.245589583	0.173160925	0.281088012	0.505782557	0.492826603	0.251131724	0.718001643	0.426908074	0.483261809	0.515359505	0.36584275	1.213445563	0.745310944	0.748087051	0.717686667	1.147026379
jgi|Nemve1|220216|fgenesh1_pg.scaffold_488000001	0.146979423	0.306986979	0.288601542	0.168652807	0.18392093	0.281615202	0.313914655	0.422353908	0.373544565	0.536957566	0.343573003	0.418106	0.719078852	0.306892742	0.480913104	0.66984089	0.825858993
jgi|Nemve1|220243|fgenesh1_pg.scaffold_490000003	4.850320969	10.25336508	8.427165025	11.07486768	22.02453135	22.21239904	23.22968447	29.22689041	21.71894826	39.03681502	19.5836612	27.804049	28.58338437	30.60159053	24.6334379	53.10881338	35.0990072
jgi|Nemve1|220256|fgenesh1_pg.scaffold_491000006	4.850320969	5.587163009	6.349233923	7.19585311	8.828204635	8.307648454	7.220037067	10.72778925	10.9928829	14.7126373	14.77363915	17.142346	21.88696256	19.02734999	28.53417752	31.00406403	32.0249765
jgi|Nemve1|220257|fgenesh1_pg.scaffold_492000001	3.184554172	4.052228117	4.502184055	4.272537784	5.057825572	5.280285034	4.206456378	3.590008215	4.909442849	4.349356281	3.893827372	3.39711125	3.775163974	3.682712901	5.07630499	5.789339117	5.092797123
jgi|Nemve1|220269|fgenesh1_pg.scaffold_494000011	9.406683091	17.80524476	14.4300771	19.22642003	13.42622788	15.5944418	21.59732827	16.04944849	20.97185913	15.35698637	17.23591234	20.278141	18.20168344	21.17559918	22.97695943	17.08094268	21.60997698
jgi|Nemve1|220271|fgenesh1_pg.scaffold_494000013	0.538924552	0.122794791	0.288601542	0.955699241	0.55176279	0.105605701	0.188348793	0.464589298	0.373544565	0.107391513	0.057262167	0.1045265	0.089884857	0.131525461	0.106869579	0.095691556	0.321167386
jgi|Nemve1|220287|fgenesh1_pg.scaffold_498000002	13.03217553	13.01624789	12.58302723	9.781862822	11.95486044	10.56057007	11.55205931	10.64331847	8.911706042	8.645016805	10.59350094	8.466646501	7.235730949	7.190058521	12.82434945	7.224712451	7.753898323
jgi|Nemve1|220294|fgenesh1_pg.scaffold_498000009	0.195972564	0.368384374	0.404042159	0.730828832	0.55176279	0.704038005	0.313914655	0.54906008	1.013906675	0.966523618	0.916194676	0.36584275	0.26965457	0.394576382	0.641217472	0.478457778	0.642334772
jgi|Nemve1|220298|fgenesh1_pg.scaffold_498000013	4.703341546	6.999303111	6.233793306	8.263987556	5.609588362	8.976484559	10.54753241	8.27813659	11.09960992	10.73915131	9.390995428	14.1110775	12.22434049	11.48655691	12.45030592	14.92788268	15.00310504
jgi|Nemve1|2203|gw.507.2.1	0.44093827	0.491179166	0.230881234	0.337305615	0.275881395	0.492826603	0.251131724	0.886943206	0.69372562	0.859132105	0.572621672	1.254318	2.651603267	2.455141934	2.885478626	3.779816448	3.945770744
jgi|Nemve1|220300|fgenesh1_pg.scaffold_498000015	0.146979423	0.245589583	0.115440617	0.562176024	0.321861627	0.281615202	0.313914655	0.126706172	0.640362111	0.268478783	0.458097338	0.3135795	0.179769713	0.701469124	0.213739157	0.478457778	0.596453717
jgi|Nemve1|220309|fgenesh1_pg.scaffold_499000008	0.685903975	0.736768748	1.212126476	1.068134446	1.655288369	1.724893111	1.444007413	0.633530861	0.853816148	0.966523618	0.916194676	0.836212	1.572984989	0.569943663	0.961826209	1.339681779	1.009383214
jgi|Nemve1|220328|fgenesh1_pg.scaffold_502000005	0.293958847	0.122794791	0.115440617	0	0.091960465	0.140807601	0.188348793	0.168941563	0.106727018	0.322174539	0.114524334	0.3135795	0.314596998	0.394576382	0.053434789	0.478457778	0.458810552
